,average_stars,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,elite,fans,funny,name,review_count,useful,user_id,yelping_since
0,3.63,1,0,1,1,0,0,0,0,0,0,0,16,,4,22,Jenna,33,48,88422913727e71e88611fdfe3512fa03,2013-02-21 22:29:06
1,3.48,1,0,1,0,0,1,2,0,2,0,0,22,,3,16,Edie,77,71,e9567f1e494c12c4bed031c792a822d0,2009-10-26 01:00:40
2,3.81,5,0,5,3,0,0,4,0,5,0,3,61,"2016,2017",7,120,Chelsea,55,161,650ee7b86f36dea4f2d95a414334fc00,2008-09-06 02:56:01
3,3.7199999999999998,206,4,206,121,6,40,103,12,213,29,49,3239,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",191,2089,Andrew,4652,5947,0f19b7f339e19bfb05acc32ec539103c,2005-07-18 06:22:37
4,3.74,4069,260,4069,3654,57,168,829,1244,1981,257,856,14031,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",329,11745,Matt,1947,15046,e4fe9ddbbb82eecb31625a70c489822a,2006-06-20 04:28:15
5,4.67,104,4,104,61,0,10,67,0,53,3,31,625,"2009,2010",30,487,Arvin,259,800,4b24e2ac5125cfcb0fea423a0749caee,2008-08-25 21:56:41
6,3.56,0,1,0,2,0,0,1,0,4,0,2,98,"2017,2018",17,101,Hazel,54,183,e1443cce0e5cff852c248104b2f3a684,2012-12-19 21:55:55
7,3.7199999999999998,491,71,491,409,13,19,157,70,275,25,116,2853,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",188,2319,Julie,788,3668,75638be7816501aa35e666df62f7417b,2008-03-28 17:58:35
8,4.03,2,0,2,0,0,1,5,0,4,0,4,62,"2011,2012,2013,2014",9,35,Libbi,137,175,132dfebae91fe40e6774ee32f2631b1d,2010-01-08 05:50:04
9,3.88,95,3,95,50,7,4,44,3,89,1,36,386,"2012,2013,2014,2015,2016,2017,2018",21,253,Laurel,394,920,b06087d22ff85473fa8da6b4a54c9d05,2011-08-29 02:35:29
10,3.91,67,5,67,50,3,5,28,8,39,4,16,411,,31,507,Andrew,311,632,9db7bc1b71703a41fd213acfcf886ee0,2007-07-14 00:50:13
11,4.39,6,0,6,9,1,2,7,7,10,3,25,142,"2012,2013,2014,2015,2016,2017",16,74,Andre,225,381,9e4dfaa1f75f14e6c04592d26c0930dc,2012-04-30 01:43:44
12,3.94,17,0,17,10,0,1,11,5,17,0,14,79,"2013,2014",6,57,Stacelyn,67,148,53aedf8dfb46ec61016f65a60e8708b9,2011-08-29 00:06:29
13,3.91,6,0,6,4,0,4,4,1,3,1,6,110,"2013,2014",6,80,Cameron,246,380,d21fbc45ae9150668ed4745c66e43b93,2013-03-03 02:00:22
14,3.95,350,100,350,770,10,55,178,266,354,37,246,4110,"2010,2011,2012,2013,2014,2015,2016,2017,2018",548,3147,Michelle,964,5250,4f71db4dedef89a62147e4031c569fb2,2009-03-10 00:20:42
15,4.29,45,1,45,24,0,0,22,6,37,0,33,504,"2014,2015,2016,2017,2018",24,178,Lisa,532,777,4a88b5fc30997d13657ea4728f6acd55,2013-06-14 18:42:18
16,3.67,37,1,37,8,0,3,17,1,47,6,21,267,"2012,2013,2014",17,238,Tim,349,461,fcad008b74e1e0e19d558cd0e4466090,2011-08-18 05:36:02
17,3.71,35,3,35,18,0,7,8,15,32,7,24,1041,"2013,2014,2015,2016,2017,2018",70,834,Mui,633,1878,9feee639a5afabf260e4392d02b05fae,2012-02-03 19:30:33
18,4.36,12,2,12,3,0,8,5,6,6,0,8,104,"2016,2017,2018",18,52,Jasmine,73,120,8b301cf4d0fece547c3b7fb0416e13a5,2015-01-29 13:36:10
19,3.7199999999999998,48,1,48,34,2,5,11,8,53,4,40,319,"2010,2011,2012,2013,2014,2015,2016,2017,2018",29,278,Anna,376,543,1491196edaad01200587d0de2d75d1ba,2008-12-16 08:13:36
20,4.14,67,2,67,17,0,4,9,27,17,0,18,486,"2016,2017,2018",22,255,Leslie,93,653,1a83a1c62024d427789cc03c4e18b2ce,2012-06-25 07:42:46
21,4.51,11,1,11,1,0,3,2,0,16,0,0,102,,18,58,Aaron,94,207,705de2eec93fb9af282996e7a69bdd62,2012-10-11 01:31:55
22,3.38,424,52,424,244,14,45,185,176,337,24,275,6626,"2010,2011",385,5629,Ivy,1326,10385,196f7f55132f62d32445e0e19bd645fd,2008-08-31 00:37:21
23,4.05,932,54,932,870,22,61,410,111,750,55,430,3048,"2010,2011,2012,2013,2014,2015,2016,2017",106,2574,Angela,461,3709,fa50793ee188627bc7c77af3f405ed80,2008-01-28 06:09:34
24,3.85,6,0,6,5,1,2,4,0,13,2,8,112,"2012,2013,2014",4,49,Vinson,169,247,c6c3fea1a16ad824a33547974e867c60,2011-06-23 18:24:01
25,3.83,6,0,6,4,0,0,0,4,13,0,0,138,,12,53,Christy,173,188,da57f89288099312f0b9f0fd026d8be1,2011-06-02 23:39:22
26,4.07,0,0,0,0,0,0,0,0,0,0,0,2,,0,3,Lilybell,25,18,cd6e0fdf97dddafa2df2766defaf46ad,2013-11-30 17:51:40
27,3.93,43,2,43,20,0,2,21,14,35,2,20,524,"2012,2013,2014,2015,2016,2017",44,311,Amy,460,852,2cdaaed5ec1f20e629c30ccc321a5dca,2011-02-08 23:09:40
28,3.92,1068,13,1068,553,2,34,170,919,619,44,191,5635,"2014,2015,2016,2017,2018",297,3635,Chris,248,6422,91a2698e10165c03caed901896baac70,2013-04-13 19:34:26
29,3.56,63,6,63,23,2,8,51,19,195,2,11,505,"2013,2017,2018",41,224,Matthieu,1180,1415,aed8a17561c219dae5aa3aec986c6312,2012-11-05 16:35:27
30,3.46,1,0,1,0,0,1,2,1,9,0,2,54,"2015,2016,2017,2018",14,15,Cindy,114,92,0bb831710730cfbd7fba1a102b4ac601,2012-10-15 17:39:55
31,3.8200000000000003,7,0,7,4,0,0,0,1,2,0,2,18,,0,10,Honest,21,49,39f9f4a86d1a1047e2f0368da15ffb55,2012-11-26 20:29:08
32,3.91,3,2,3,6,0,0,2,4,7,0,2,61,,16,24,Kyra,60,87,be632a7f3c862679aadbb60a1d84ab70,2010-06-02 17:56:53
33,4.72,0,0,0,0,0,1,0,0,0,0,0,8,,0,3,Mandy,25,21,8d5f58aa077cc9837d2a97f34089dd75,2016-02-23 09:16:11
34,3.8200000000000003,1262,94,1262,1309,30,127,352,122,677,75,561,9380,"2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",485,7042,Lorrie,3023,13793,17efeced40f7a4979e2dffe9abdbebf3,2008-11-07 23:53:03
35,3.67,1026,38,1026,689,7,84,347,304,509,48,242,2992,"2012,2013,2014,2015,2016,2017,2018",156,2589,Sidney,335,3540,fb186d06cf348bb1c35678dd3ab0044a,2011-02-18 23:59:02
36,3.66,1332,118,1332,1005,69,82,533,272,1594,58,398,4908,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",343,2011,Teri,1015,6553,6d5a8123f351eb57b9a880a5562b313a,2005-07-06 04:31:27
37,3.54,17,0,17,17,0,7,20,3,12,0,25,144,"2011,2012,2015",10,151,Cat,118,457,4fd9d883d4770bd33159c3db0bdbbf4d,2008-09-22 14:01:11
38,4.06,145,8,145,67,2,26,139,12,198,7,69,2907,"2010,2011,2012,2013,2014,2015,2016,2017,2018",61,1668,Nancy,1434,4270,3a68566eaa63c1682a06755f352c2637,2010-09-20 04:17:33
39,3.61,63,3,63,26,1,8,21,11,62,2,7,407,"2017,2018",54,345,Melissa,998,854,a40eeaccb1aed4684f86fdfd429cb71d,2006-08-28 02:10:40
40,3.4,94,14,94,79,3,11,53,17,84,9,47,790,"2008,2009,2010,2011",73,665,Tiana,577,1781,6fdbc89da28c213534f6dd39964dad21,2007-07-06 17:33:40
41,3.92,19,4,19,20,0,3,12,5,8,3,16,202,"2010,2011,2012,2013,2014",22,143,Maci,178,521,df0235fde3933a813f6976e4965f5897,2010-01-14 17:25:11
42,3.98,41,3,41,27,0,4,32,2,36,3,17,1316,2007,56,1032,Georgia,708,1909,d364931a4290e4c013a6063afc0d12c4,2007-01-06 22:04:23
43,4.1,134,3,134,42,1,5,63,6,139,0,29,282,"2013,2014",20,197,Tom,151,400,2f679de4dd08812153924b11961461e6,2012-10-01 20:08:41
44,3.45,2403,106,2403,1658,30,199,1169,283,1724,114,953,18747,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",706,11811,Anita,4065,23653,fb72af3666077b25bbf81e41c6cdc024,2005-04-12 03:08:20
45,3.81,6642,2254,6642,6338,1306,1441,2763,11129,4362,2331,3590,24513,"2012,2013,2014,2015,2016,2017",309,18006,Christie,858,27129,a8bb0ac7106dd16d2c83a61295ea0042,2012-06-17 15:47:08
46,3.84,0,0,0,1,0,0,2,0,5,0,1,21,,3,20,Mike,59,111,dc8433d1e70d4fd828879c8232f7d4db,2012-08-05 21:37:42
47,3.22,4,1,4,0,0,0,0,1,3,0,0,8,"2015,2016",4,9,Ralph,37,54,d9646bb9568b40c42033e4c89e3a9ee9,2013-12-11 19:49:34
48,3.91,259,0,259,97,3,14,124,163,299,3,133,2450,"2011,2012,2013,2014,2015,2016,2017,2018",101,1765,Dave,1224,3499,4081ec9b3ab06e051c38aa3fde84bddb,2008-03-23 22:55:48
49,4.31,0,0,0,0,0,0,0,0,0,0,0,3,,1,4,Brittany,35,24,be81e26883484af21bd437623a66130c,2016-06-09 22:52:06
50,4.22,6,0,6,2,0,3,5,2,4,0,3,33,"2016,2017",18,19,Brandi,59,63,08e33665c6366cd82cf10f60c91767d6,2012-06-18 02:24:22
51,4.2,1283,73,1283,653,12,94,877,270,2873,39,347,5237,"2011,2012,2013,2014,2015,2016,2017,2018",522,3241,Aimee,799,7349,0fc99693f0aaaff6298602a47ee2e637,2010-04-29 14:32:53
52,3.99,151,67,151,214,1,8,105,40,113,2,16,972,"2006,2007,2008,2009,2010",107,1063,Joanne,536,1410,5b3c49b51bd1fccd2a590dcd92cbe1f2,2006-01-06 06:26:25
53,4.39,4,1,4,1,0,0,3,1,5,0,6,61,"2015,2016,2017",13,22,Julie,127,151,fcf5c30d83303d095b25bae788f7fde2,2015-02-02 02:12:33
54,4.41,0,0,0,0,0,0,1,0,0,0,0,4,,1,4,Cheruy,22,14,9d01bb39be64a43f7f362f9e530b2516,2013-12-14 04:52:15
55,3.84,1,0,1,0,0,0,2,1,1,0,4,16,2017,2,7,Sheila,91,46,932d88eabe4038168f617efe1c06e216,2013-08-27 07:13:29
56,3.71,3,0,3,5,0,2,3,0,5,0,1,30,2012,5,33,Francesca,47,108,e27acb3e4b1e2eb0e1ee4b30b278fd19,2009-11-04 04:10:56
57,3.2800000000000002,0,0,0,1,0,1,2,0,0,0,1,10,2017,3,5,Ivy,38,17,2aed825c7de50cef9e891c08630c3f52,2017-02-06 16:24:16
58,3.79,91,31,91,208,0,8,50,67,77,12,45,1313,2018,177,812,serina,728,1995,367ec910c8a5567c038067da5a0e8df4,2009-05-01 04:39:34
59,4.29,9,1,9,2,1,4,5,0,4,0,6,65,"2011,2012,2013",8,36,Terry,110,170,3300f4ef3bea671a82a7d4762ecf1b4d,2009-09-30 02:15:07
60,3.83,46,3,46,36,0,6,13,5,26,1,13,315,"2011,2012,2013,2014,2015,2016",14,188,Jenna,247,542,29f0d22bb46d341f497bb57be7f914ba,2010-11-08 04:33:49
